Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
49,"HH Aumann, MT Chahine, C Gautier…","AIRS/AMSU/HSB on the Aqua mission: Design, science objectives, data products, and processing systems",1970,2003, ieeexplore.ieee.org, … and Remote Sensing,"… radiosonde and land and ocean surface-temperature reports. … on algorithm development 
and data-product validation. The … , CO, CO , cirrus, surface wind speed, and others are being de…",https://ieeexplore.ieee.org/abstract/document/1196043/,https://ieeexplore.ieee.org/iel5/36/26903/01196043.pdf,82
47,"WE Esaias, MR Abbott, I Barton…",An overview of MODIS capabilities for ocean science observations,709,1998, ieeexplore.ieee.org, … and Remote Sensing,"… , and improved science data product algorithms. Spectral bands … by an estimate of the wind 
speed (from numerical weather … of sea surface temperature from remote sensing in the 11 m …",https://ieeexplore.ieee.org/abstract/document/701076/,https://ieeexplore.ieee.org/iel4/36/15154/00701076.pdf,24
44,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… sea surface temperature, sea surface wind speed, sea ice concentration, sea ice temperature, 
snow depth on sea … Details of the data-product algorithms from the four US Science Teams …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
40,"S Tanelli, SL Durden, E Im, KS Pak…","CloudSat's cloud profiling radar after two years in orbit: Performance, calibration, and processing",432,2008, ieeexplore.ieee.org, … and Remote Sensing,"… and the surface clutter rejection algorithm introduced for the Release 04 data product. … 
σ0) as the function of surface wind w and segregated by sea surface temperature SST (color …",https://ieeexplore.ieee.org/abstract/document/4685947/,https://ieeexplore.ieee.org/iel5/36/4685926/04685947.pdf,23
45,"DM Le Vine, GSE Lagerloef, FR Colomb…",Aquarius: An instrument to monitor sea surface salinity from space,403,2007, ieeexplore.ieee.org, … and Remote Sensing,"… objective of measuring rain, ocean surface wind (speed and direction), and sea ice. The 
MWR … However, the final Aquarius data product will be a monthly map of the salinity field. The …",https://ieeexplore.ieee.org/abstract/document/4261063/,https://ieeexplore.ieee.org/iel5/36/4261027/04261063.pdf,20
31,"MP Clarizia, CS Ruf",Wind speed retrieval algorithm for the cyclone global navigation satellite system (CYGNSS) mission,320,2016, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… ocean surface wind speed data product of the Cyclone Global Navigation Satellite System 
(… two different partially correlated estimates of the winds by taking their weighted average. The …",https://ieeexplore.ieee.org/abstract/document/7448408/,https://ieeexplore.ieee.org/iel7/36/4358825/07448408.pdf,29
8,"AG Fore, SH Yueh, W Tang, BW Stiles…",Combined active/passive retrievals of ocean vector wind and sea surface salinity with SMAP,231,2016, ieeexplore.ieee.org, … and Remote Sensing,"… ancillary data sets described in Table I to generate a modelbased expected TB value for all 
footprints in the L1B TB data product. The generation of this expected TB value requires the …",https://ieeexplore.ieee.org/abstract/document/7567509/,https://ieeexplore.ieee.org/iel7/36/4358825/07567509.pdf,21
28,"DK Hall, JR Key, KA Casey, GA Riggs…",Sea ice surface temperature product from MODIS,229,2004, ieeexplore.ieee.org, … and remote sensing,"… There are several different data product levels starting with … actual differences depend on 
wind and cloud cover conditions [… of sea surface temperature from remote sensing in the 11–13 …",https://ieeexplore.ieee.org/abstract/document/1298977/,https://ieeexplore.ieee.org/iel5/36/28858/01298977.pdf,10
27,"S Zine, J Boutin, J Font, N Reul…",Overview of the SMOS sea surface salinity prototype processor,186,2008, ieeexplore.ieee.org, … and Remote Sensing,"… the rough ocean surface, and rough sea surface … surface wind, through its effect on surface 
roughness, is a key aspect of several components of the forward model, and since the wind …",https://ieeexplore.ieee.org/abstract/document/4456819/,https://ieeexplore.ieee.org/iel5/36/4456805/04456819.pdf,10
21,"T Meissner, FJ Wentz",Wind-vector retrievals under rain with passive satellite microwave radiometers,171,2009, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… We will also develop a semistatistical algorithm that decouples the rainy atmosphere from 
the wind-roughened ocean surface. The atmospheric transmittance τ and the up- and down…",https://ieeexplore.ieee.org/abstract/document/5196732/,https://ieeexplore.ieee.org/iel5/36/5210215/05196732.pdf,10
