Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
13,"A Gillespie, S Rokugawa, T Matsunaga…",A temperature and emissivity separation algorithm for Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) images,1968,1998, ieeexplore.ieee.org, … and remote sensing,"… spectroscopy from satellite, and multispectral sensors with a … so in the ASTER temperature 
product—about the same amount … A cloud of steam drifts west (left) from the entry point. …",https://ieeexplore.ieee.org/abstract/document/700995/,https://ieeexplore.ieee.org/iel4/36/15154/00700995.pdf,68
9,"GJ Roberts, MJ Wooster",Fire detection and fire characterization over Africa using Meteosat SEVIRI,262,2008, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… fire temperature and fractional area from which FRP could be derived using (1). However, in 
the case of data from satellite Earth-observing (EO) sensors … is the data product intended by …",https://ieeexplore.ieee.org/abstract/document/4469869/,https://ieeexplore.ieee.org/iel5/36/4358825/04469869.pdf,14
11,"JRG Townshend, TE Goff…",Multitemporal dimensionality of images of normalized difference vegetation index at continental scales,226,1985, ieeexplore.ieee.org, … Geoscience and Remote …,"… derived from NOAA world data product are analyzed by means … The most commonly used 
source of satellite remotesensing … plot with the highest NDVI's represent warm temperature and …",https://ieeexplore.ieee.org/abstract/document/4072392/,https://ieeexplore.ieee.org/iel5/36/4072376/04072392.pdf,5
2,"T Meissner, FJ Wentz",Wind-vector retrievals under rain with passive satellite microwave radiometers,171,2009, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… rain using brightnesstemperature (TB) measurements from passive satellite microwave … 
Because of the high variability of rainy atmospheres, the TBs depend on cloud type and the …",https://ieeexplore.ieee.org/abstract/document/5196732/,https://ieeexplore.ieee.org/iel5/36/5210215/05196732.pdf,10
17,"DJ Leroux, YH Kerr, A Al Bitar…","Comparison between SMOS, VUA, ASCAT, and ECMWF soil moisture products over four watersheds in US",124,2013, ieeexplore.ieee.org, … and Remote Sensing,"… -A satellite as a follow-on to the European Remote Sensing (ERS) … uses a custom made 
climate data product from ECMWF that is … soil temperatures can lead to less accurate satellite soil …",https://ieeexplore.ieee.org/abstract/document/6504747/,https://ieeexplore.ieee.org/iel7/36/4358825/06504747.pdf,9
7,"SK Biswas, S Farrar, K Gopalan…",Intercalibration of microwave radiometer brightness temperatures for the global precipitation measurement mission,105,2012, ieeexplore.ieee.org, … and Remote Sensing,"… The WindSat data product used for this research is the … layer information, but we have verified 
that using model-derived cloud … research in satellite microwave remote sensing technology …",https://ieeexplore.ieee.org/abstract/document/6340324/,https://ieeexplore.ieee.org/iel5/36/6469257/06340324.pdf,7
15,"LA Magruder, CE Webb, TJ Urban…",ICESat altimetry data product verification at White Sands Space Harbor,85,2007, ieeexplore.ieee.org, … and Remote Sensing,"… temperature and GLAS boresight alignment have a large impact on elevation values. Also 
significant is the density of cloud … His research interests include satellite mission design and …",https://ieeexplore.ieee.org/abstract/document/4039625/,https://ieeexplore.ieee.org/iel5/36/4039606/04039625.pdf,4
12,"K Mao, J Shi, H Tang, ZL Li, X Wang…",A neural network technique for separating land surface emissivity and temperature from ASTER imagery,69,2008, ieeexplore.ieee.org, … and remote sensing,"… better than the ASTER standard data product. To further evaluate … vapor, cloud liquid water 
path, surface temperature, and … agencies in areas of satellite remote sensing, radar, and radio …",https://ieeexplore.ieee.org/abstract/document/4407630/,https://ieeexplore.ieee.org/iel5/36/4407619/04407630.pdf,4
26,"MH Freilich, BA Vanhoff",The accuracy of preliminary WindSat vector wind measurements: Comparisons with NDBC buoys and QuikSCAT,58,2006, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… water vapor, cloud liquid water, sea-surface temperature, and wind … In order to focus on the 
highest quality satellite … , with the more recent B1 data product being slightly more accurate …",https://ieeexplore.ieee.org/abstract/document/1597468/,https://ieeexplore.ieee.org/iel5/36/33599/01597468.pdf,3
24,"B Candy, SJ English, SJ Keogh",A Comparison of the impact of QuikScat and WindSat wind vector products on met office analyses and forecasts,57,2009, ieeexplore.ieee.org, … transactions on geoscience …,"… Met Office sea surface temperature and seaice analyses). … east of Indonesia, and due to 
high cloud liquid water in the field of … for the assimilation of satellite sounding and microwave …",https://ieeexplore.ieee.org/abstract/document/4812050/,https://ieeexplore.ieee.org/iel5/36/4939375/04812050.pdf,3
