Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
32,"HH Aumann, MT Chahine, C Gautier…","AIRS/AMSU/HSB on the Aqua mission: Design, science objectives, data products, and processing systems",1970,2003, ieeexplore.ieee.org, … and Remote Sensing,"… The data processing system at JPL focuses on algorithm development and data-product … 
and surface, and remote sensing of geophysical parameters from aircraft and satellites. …",https://ieeexplore.ieee.org/abstract/document/1196043/,https://ieeexplore.ieee.org/iel5/36/26903/01196043.pdf,82
22,"JW Waters, L Froidevaux, RS Harwood…",The earth observing system microwave limb sounder (EOS MLS) on the Aura satellite,1517,2006, ieeexplore.ieee.org, … and remote sensing,"… Microwave limb sounding remotely measures atmospheric … The geophysical data product 
output files also contain the … EOS MLS temperature and wind measurements during 2004…",https://ieeexplore.ieee.org/abstract/document/1624589/,https://ieeexplore.ieee.org/iel5/36/34107/01624589.pdf,72
34,"WE Esaias, MR Abbott, I Barton…",An overview of MODIS capabilities for ocean science observations,709,1998, ieeexplore.ieee.org, … and Remote Sensing,"… , and improved science data product algorithms. Spectral bands for … wind speed [44], [56]. 
The Rayleigh scattering contribution can be precisely computed given the surface atmospheric …",https://ieeexplore.ieee.org/abstract/document/701076/,https://ieeexplore.ieee.org/iel4/36/15154/00701076.pdf,24
24,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… of the atmosphere and, depending upon atmospheric conditions… Details of the data-product 
algorithms from the four US … For a prime example, the MODIS polar tropospheric winds show …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
17,"S Tanelli, SL Durden, E Im, KS Pak…","CloudSat's cloud profiling radar after two years in orbit: Performance, calibration, and processing",432,2008, ieeexplore.ieee.org, … and Remote Sensing,"… and the surface clutter rejection algorithm introduced for the Release 04 data product. … 
close to normal, σ0 measured in clear air and over water depends mainly on wind speed w, …",https://ieeexplore.ieee.org/abstract/document/4685947/,https://ieeexplore.ieee.org/iel5/36/4685926/04685947.pdf,23
15,"MP Clarizia, CS Ruf",Wind speed retrieval algorithm for the cyclone global navigation satellite system (CYGNSS) mission,320,2016, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… ocean surface wind speed data product of the Cyclone Global Navigation Satellite System 
(CYGNSS) … , microwave radiometry, atmosphere and ocean geophysical retrieval algorithm …",https://ieeexplore.ieee.org/abstract/document/7448408/,https://ieeexplore.ieee.org/iel7/36/4358825/07448408.pdf,29
18,"DK Hall, JR Key, KA Casey, GA Riggs…",Sea ice surface temperature product from MODIS,229,2004, ieeexplore.ieee.org, … and remote sensing,"… There are several different data product levels starting with Level 2 (L2). An L2 product is 
a … (water level) and barometric pressure, wind speed, direction, and gust, including hourly …",https://ieeexplore.ieee.org/abstract/document/1298977/,https://ieeexplore.ieee.org/iel5/36/28858/01298977.pdf,10
2,"T Meissner, FJ Wentz",Wind-vector retrievals under rain with passive satellite microwave radiometers,171,2009, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… algorithm that decouples the rainy atmosphere from the wind-roughened ocean surface. 
The atmospheric transmittance τ and the up- and downwelling atmospheric TBs TBU and TBD, …",https://ieeexplore.ieee.org/abstract/document/5196732/,https://ieeexplore.ieee.org/iel5/36/5210215/05196732.pdf,10
21,"S Gleason, CS Ruf, MP Clarizia…",Calibration and unwrapping of the normalized scattering cross section for the cyclone global navigation satellite system,133,2016, ieeexplore.ieee.org, … and Remote Sensing,"… The L1 data product are calibrated and geolocated using a … with wind remote sensing 
application,” IEEE Trans. Geosci. … , microwave radiometry, atmosphere and ocean geophysical …",https://ieeexplore.ieee.org/abstract/document/7377085/,https://ieeexplore.ieee.org/iel7/36/7442241/07377085.pdf,12
12,"W Tang, WT Liu, BW Stiles",Evaluation of high-resolution ocean surface vector winds measured by QuikSCAT scatterometer in coastal regions,121,2004, ieeexplore.ieee.org, … Geoscience and Remote sensing,"… , a high-resolution (12.5 km) vector wind dataset was … used in standard QuikSCAT data 
product. Degradation caused … of earth remote sensing data to understand the role of air–sea …",https://ieeexplore.ieee.org/abstract/document/1323132/,https://ieeexplore.ieee.org/iel5/36/29294/01323132.pdf,5
