Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
23,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… Corrections for the effect of stratospheric ozone absorption and the atmosphere above the 
… In addition to the estimates of the surface reflectance, the data product contains the following …",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
20,"HH Aumann, MT Chahine, C Gautier…","AIRS/AMSU/HSB on the Aqua mission: Design, science objectives, data products, and processing systems",1970,2003, ieeexplore.ieee.org, … and Remote Sensing,"… Also of interest to climate are the global day/night measurements of ozone, CO, and CO … 
The data processing system at JPL focuses on algorithm development and data-product …",https://ieeexplore.ieee.org/abstract/document/1196043/,https://ieeexplore.ieee.org/iel5/36/26903/01196043.pdf,82
19,"JW Waters, L Froidevaux, RS Harwood…",The earth observing system microwave limb sounder (EOS MLS) on the Aura satellite,1517,2006, ieeexplore.ieee.org, … and remote sensing,"… height to improve our understanding of stratospheric ozone chemistry, the interaction of … 
The geophysical data product output files also contain the estimated precision for each …",https://ieeexplore.ieee.org/abstract/document/1624589/,https://ieeexplore.ieee.org/iel5/36/34107/01624589.pdf,72
35,"W Lucht, CB Schaaf, AH Strahler",An algorithm for the retrieval of albedo from space using semiempirical BRDF models,1308,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… Atmospheric aerosol optical depth, water vapor, and ozone … The MODIS BRDF/albedo 
standard data product will provide … given in this paper when they make use of the data product. …",https://ieeexplore.ieee.org/abstract/document/841980/,https://ieeexplore.ieee.org/iel5/36/18212/00841980.pdf,52
22,"MD King, WP Menzel, YJ Kaufman…","Cloud and aerosol properties, precipitable water, and profiles of temperature and water vapor from MODIS",1160,2003, ieeexplore.ieee.org, … and Remote Sensing,"… profiles of temperature, moisture, and ozone is used to determine the regression coefficients. 
… 1Atmospheric profile retrievals are saved at only 20 levels in the MOD07 data product; …",https://ieeexplore.ieee.org/abstract/document/1196060/,https://ieeexplore.ieee.org/iel5/36/26903/01196060.pdf,48
29,"WE Esaias, MR Abbott, I Barton…",An overview of MODIS capabilities for ocean science observations,709,1998, ieeexplore.ieee.org, … and Remote Sensing,"… and stability monitoring, and improved science data product algorithms. Spectral bands for 
… of 0.5, and 0.5-cm water and 0.35-cm ozone in the air column. The view is nadir with a solar …",https://ieeexplore.ieee.org/abstract/document/701076/,https://ieeexplore.ieee.org/iel4/36/15154/00701076.pdf,24
21,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… Details of the data-product algorithms from the four US Science Teams can be found in the 
… /AMSU/HSB ozone measurements have an advantage over previous satellite-derived ozone …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
36,"C Cao, FJ De Luccia, X Xiong…",Early on-orbit performance of the visible infrared imaging radiometer suite onboard the Suomi National Polar-Orbiting Partnership (S-NPP) satellite,592,2013, ieeexplore.ieee.org, … and Remote Sensing,"… Toward the end of this provisional period, the data product is considered validated. The 
official transition to the operations phase is expected to begin at launch plus 9 to 15 months. LTM …",https://ieeexplore.ieee.org/abstract/document/6522157/,https://ieeexplore.ieee.org/iel7/36/6680673/06522157.pdf,42
6,"PF Levelt, E Hilsenrath…",Science objectives of the ozone monitoring instrument,567,2006, ieeexplore.ieee.org, … and Remote Sensing,"… release depend on the data product. Public released OMI standard data products will be 
available via the NASA Goddard Space Flight Center Earth Sciences Distributed Active Archive …",https://ieeexplore.ieee.org/abstract/document/1624600/,https://ieeexplore.ieee.org/iel5/36/34107/01624600.pdf,27
32,"BA Wielicki, BR Barkstrom, BA Baum…",Clouds and the Earth's Radiant Energy System (CERES): algorithm overview,400,1998, ieeexplore.ieee.org, … and Remote Sensing,"… (DAO) temperature and moisture fields, satellite measured ozone and aerosol data, CERES 
… These ERBE-like TOA fluxes then provide the most consistent data product with historical …",https://ieeexplore.ieee.org/abstract/document/701020/,https://ieeexplore.ieee.org/iel4/36/15154/00701020.pdf,14
