Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
46,"HH Aumann, MT Chahine, C Gautier…","AIRS/AMSU/HSB on the Aqua mission: Design, science objectives, data products, and processing systems",1970,2003, ieeexplore.ieee.org, … and Remote Sensing,"… sounding system on the Aqua satellite of the Earth Observing … current operational sounding 
system of the National Oceanic … on algorithm development and data-product validation. The …",https://ieeexplore.ieee.org/abstract/document/1196043/,https://ieeexplore.ieee.org/iel5/36/26903/01196043.pdf,82
20,"WE Esaias, MR Abbott, I Barton…",An overview of MODIS capabilities for ocean science observations,709,1998, ieeexplore.ieee.org, … and Remote Sensing,"… , and improved science data product algorithms. Spectral bands … capabilities of the current 
MODIS sensors in relation to the … He has been involved in satellite remote sensing since 1981 …",https://ieeexplore.ieee.org/abstract/document/701076/,https://ieeexplore.ieee.org/iel4/36/15154/00701076.pdf,24
45,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… soil moisture, sea ice temperature, and sea surface temperature … Details of the data-product 
algorithms from the four US … Current satellite atmospheric temperature accuracies for the …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
19,"C Cao, FJ De Luccia, X Xiong…",Early on-orbit performance of the visible infrared imaging radiometer suite onboard the Suomi National Polar-Orbiting Partnership (S-NPP) satellite,592,2013, ieeexplore.ieee.org, … and Remote Sensing,"… Toward the end of this provisional period, the data product is … ocean sites, as well as 
intercomparisons with other satellite … His current research interests include using satellite remote …",https://ieeexplore.ieee.org/abstract/document/6522157/,https://ieeexplore.ieee.org/iel7/36/6680673/06522157.pdf,42
21,"DM Le Vine, GSE Lagerloef, FR Colomb…",Aquarius: An instrument to monitor sea surface salinity from space,403,2007, ieeexplore.ieee.org, … and Remote Sensing,"… of the coupling between ocean circulation, global water cycle, … However, the final Aquarius 
data product will be a monthly … in developing new applications for satellite remote sensing. …",https://ieeexplore.ieee.org/abstract/document/4261063/,https://ieeexplore.ieee.org/iel5/36/4261027/04261063.pdf,20
27,"MP Clarizia, CS Ruf",Wind speed retrieval algorithm for the cyclone global navigation satellite system (CYGNSS) mission,320,2016, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… ocean surface wind speed data product of the Cyclone Global Navigation Satellite System 
(CYGNSS) … In fact, the current understanding of the bistatic scattering cross section of the …",https://ieeexplore.ieee.org/abstract/document/7448408/,https://ieeexplore.ieee.org/iel7/36/4358825/07448408.pdf,29
9,"J Gower, C Hu, G Borstad, S King",Ocean Color Satellites Show Extensive Lines of Floating Sargassum in the Gulf of Mexico,300,2006, ieeexplore.ieee.org, … Transactions on Geoscience …,"… chlorophyll data product of SeaWiFS also shows the slicks, … the capability of current ocean 
color sensors. Such bands are … generations of satellite and aircraft remote sensing devices—…",https://ieeexplore.ieee.org/abstract/document/4014316/,https://ieeexplore.ieee.org/iel5/36/4014302/04014316.pdf,14
26,"S Mecklenburg, M Drusch, YH Kerr…",ESA's soil moisture and ocean salinity mission: Mission performance and operations,251,2012, ieeexplore.ieee.org, … and Remote Sensing,"… data product is delivered to ECMWF within 3 h from sensing … Sea (water masses, circulation, 
and climate change), ocean … Ocean Salinity satellite mission and the associated research on …",https://ieeexplore.ieee.org/abstract/document/6175118/,https://ieeexplore.ieee.org/iel5/36/6186863/06175118.pdf,17
30,"AG Fore, SH Yueh, W Tang, BW Stiles…",Combined active/passive retrievals of ocean vector wind and sea surface salinity with SMAP,231,2016, ieeexplore.ieee.org, … and Remote Sensing,"… radar in July 2015, this data product will have limited utility for … algorithm development of 
satellite earth remote sensing data. … for determining the surface topography and spin axis and …",https://ieeexplore.ieee.org/abstract/document/7567509/,https://ieeexplore.ieee.org/iel7/36/4358825/07567509.pdf,21
36,"DK Hall, JR Key, KA Casey, GA Riggs…",Sea ice surface temperature product from MODIS,229,2004, ieeexplore.ieee.org, … and remote sensing,"… of sea ice influences the temperature and circulation patterns … There are several different 
data product levels starting with Level … , polar meteorology, satellite remote sensing of cloud and …",https://ieeexplore.ieee.org/abstract/document/1298977/,https://ieeexplore.ieee.org/iel5/36/28858/01298977.pdf,10
