Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
11,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… In addition to the estimates of the surface reflectance, the data product contains the following 
… His research interests include satellite image geolocation, elevation model generation, and …",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
14,"W Lucht, CB Schaaf, AH Strahler",An algorithm for the retrieval of albedo from space using semiempirical BRDF models,1308,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… The MODIS BRDF/albedo standard data product will provide … given in this paper when they 
make use of the data product. … modeled to satellite spatial scale for a semi-desert landscape,” …",https://ieeexplore.ieee.org/abstract/document/841980/,https://ieeexplore.ieee.org/iel5/36/18212/00841980.pdf,52
35,"DJ Diner, JC Beckert, TH Reilly…",Multi-angle Imaging SpectroRadiometer (MISR) instrument description and experiment overview,1258,1998, ieeexplore.ieee.org, … and Remote Sensing,"… defined by a digital elevation model (DEM) to account for … landscape classification. Hall et 
al. [57] showed how time series of … assessment, algorithm and data product validation, software …",https://ieeexplore.ieee.org/abstract/document/700992/,https://ieeexplore.ieee.org/iel4/36/15154/00700992.pdf,43
12,"SK Chan, R Bindlish, PE O'Neill, E Njoku…",Assessment of the SMAP passive soil moisture product,696,2016, ieeexplore.ieee.org, … and Remote Sensing,"… the L1C_TB Gridded Radiometer Data Product on the global … , frozen ground, mountainous 
terrain, dense vegetation with … interests include watershed and landscape scale hydrology, …",https://ieeexplore.ieee.org/abstract/document/7478653/,https://ieeexplore.ieee.org/iel7/36/4358825/07478653.pdf,63
8,"D Entekhabi, EG Njoku, P Houser…",The hydrosphere state (Hydros) satellite mission: An earth system pathfinder for global mapping of soil moisture and land freeze/thaw,298,2004, ieeexplore.ieee.org, … and Remote Sensing,"… a global 10-km soil moisture data product. The radar and the … in evaporation from the 
landscape. Plants transpire water by … Soil roughness, topography, and vegetation conditions at the …",https://ieeexplore.ieee.org/abstract/document/1344170/,https://ieeexplore.ieee.org/iel5/36/29599/01344170.pdf,13
33,"GC Hulley, SJ Hook",Generating consistent land surface temperature and emissivity products between ASTER and MODIS data for earth science research,263,2010, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… agricultural practices, especially in heterogeneous landscapes. Furthermore, although the 
… from both sensors are intercompared by degrading the ASTER data product from 90 m to …",https://ieeexplore.ieee.org/abstract/document/5582278/,https://ieeexplore.ieee.org/iel5/36/5738422/05582278.pdf,15
27,"N Sanchez, J Martínez-Fernández…",Validation of the SMOS L2 soil moisture data in the REMEDHUS network (Spain),247,2012, ieeexplore.ieee.org, … and Remote Sensing,"… MIR_SMUDP2 (L2 Soil Moisture User Data Product, v4.00) … to the specific topographic and 
edaphoclimatic characteristics. … and environmental science in landscape protection from the …",https://ieeexplore.ieee.org/abstract/document/6168254/,https://ieeexplore.ieee.org/iel5/36/6186863/06168254.pdf,16
21,"Y Qu, Q Liu, S Liang, L Wang, N Liu…",Direct-estimation algorithm for mapping daily land-surface broadband albedo from MODIS data,235,2013, ieeexplore.ieee.org, … Geoscience and Remote …,"… ) that present different landscapes at different locations with a … The target altitude (land-surface 
elevation) varies from 0 to … atmospheric radiation budget (SARB) data product,” in Proc. …",https://ieeexplore.ieee.org/abstract/document/6514500/,https://ieeexplore.ieee.org/iel7/36/6680673/06514500.pdf,17
13,"J Kim, TS Hogue",Improving spatial soil moisture representation through integration of AMSR-E and MODIS products,198,2011, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… topographic characteristics derived from Global Topography … Level-3 is a gridded data 
product using global cylindrical 25-… procedure over a variety of landscapes and under a range of …",https://ieeexplore.ieee.org/abstract/document/5982382/,https://ieeexplore.ieee.org/iel5/36/4358825/05982382.pdf,12
34,"DJ Diner, CJ Bruegge, JV Martonchik…",MISR: A multiangle imaging spectroradiometer for geophysical and climatological research from EOS,193,1989, ieeexplore.ieee.org, … and Remote Sensing,"… terrain with accuracies unattainable with nadir-viewing … Definition of the MISR data product 
levels follows, to the extent … cloud fields, and vegetated landscapes demonstrate the necessity …",https://ieeexplore.ieee.org/abstract/document/20299/,https://ieeexplore.ieee.org/iel1/36/806/00020299.pdf,5
6,"AS Gebregiorgis, F Hossain",Understanding the dependence of satellite rainfall uncertainty on topography and climate for hydrologic model simulation,176,2012, ieeexplore.ieee.org, … Geoscience and Remote Sensing,"… data product. The study of Gebregiorgis and Hossain [37] on the optimal merging of various 
satellite … of the range of geophysical controls of satellite rainfall uncertainty for each grid box …",https://ieeexplore.ieee.org/abstract/document/6203572/,https://ieeexplore.ieee.org/iel5/36/4358825/06203572.pdf,12
16,"A Loew, R Ludwig, W Mauser",Derivation of surface soil moisture from ENVISAT ASAR wide swath and image mode data in agricultural areas,166,2006, ieeexplore.ieee.org, … Transactions on Geoscience …,"… In order to compensate the terrain induced local geometric … of the data product is due to 
areas with missing land use or el… , computer science, remote sensing, and landscape ecology at …",https://ieeexplore.ieee.org/abstract/document/1610825/,https://ieeexplore.ieee.org/iel5/36/33829/01610825.pdf,8
18,"MO Román, CK Gatebe, Y Shuai…",Use of in situ and airborne multiangle data to assess MODIS-and Landsat-based estimates of directional reflectance and albedo,138,2013, ieeexplore.ieee.org, … and Remote Sensing,"… This validation stage is a pre-requisite for any data product … to provide a more detailed 
landscape texture and achieve good … landscape as retrieved from airborne and satellite spectral …",https://ieeexplore.ieee.org/abstract/document/6461935/,https://ieeexplore.ieee.org/iel5/36/6469257/06461935.pdf,10
