Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
36,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… capability for terrestrial satellite remote sensing aimed at … surface reflectance, the data 
product contains the following … The sea ice product contains two maps of sea ice extent, one …",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
34,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… snow cover and glacial ice; liquid water in the surface layer of the oceans; and solid water in 
the oceans in the form of sea ice floating in the north and south polar seas. … the data-product …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
47,"C Cao, FJ De Luccia, X Xiong…",Early on-orbit performance of the visible infrared imaging radiometer suite onboard the Suomi National Polar-Orbiting Partnership (S-NPP) satellite,592,2013, ieeexplore.ieee.org, … and Remote Sensing,"… period, the data product is considered validated. The … snow, which has unique spectral 
characteristics. As a result, the radiometric biases cannot be fully assessed for other land-cover …",https://ieeexplore.ieee.org/abstract/document/6522157/,https://ieeexplore.ieee.org/iel7/36/6680673/06522157.pdf,42
5,"DK Hall, JR Key, KA Casey, GA Riggs…",Sea ice surface temperature product from MODIS,229,2004, ieeexplore.ieee.org, … and remote sensing,"… , 5% of the ocean surface, makes the sea ice cover a key … There are several different data 
product levels starting with … Environmental Satellite System missions will extend the sea ice …",https://ieeexplore.ieee.org/abstract/document/1298977/,https://ieeexplore.ieee.org/iel5/36/28858/01298977.pdf,10
31,"UC Herzfeld, BW McDonald, BF Wallin…",Algorithm for detection of ground and canopy cover in micropulse photon-counting lidar altimeter data in preparation for the ICESat-2 mission,172,2013, ieeexplore.ieee.org, … and Remote Sensing,"… are to measure land ice elevation, sea ice freeboard, and … Sigma data, the resulting data 
product would have far more signal … interests include satellite and airborne remote sensing of …",https://ieeexplore.ieee.org/abstract/document/6522499/,https://ieeexplore.ieee.org/iel7/36/6695798/06522499.pdf,12
44,"A Egido, WHF Smith",Fully focused SAR altimetry: Theory and applications,170,2016, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… Hydrology, sea ice, and open ocean applications are also … the satellite orbit positions 
provided in the data product. The … His publications cover these and other topics, including the …",https://ieeexplore.ieee.org/abstract/document/7579570/,https://ieeexplore.ieee.org/iel7/36/4358825/07579570.pdf,15
42,"E Masuoka, A Fleig, RE Wolfe…",Key characteristics of MODIS data products,165,2002, ieeexplore.ieee.org, … Geoscience and Remote …,"… In the latter case, data from one satellite will differ from that … the pixels of a Levels 1 or 2 
data product, we must also obtain the … Sea ice cover products only extend down to 50 latitude. …",https://ieeexplore.ieee.org/abstract/document/701081/,https://ieeexplore.ieee.org/iel4/36/15154/00701081.pdf,7
46,"LA Magruder, KM Brunt",Performance analysis of airborne photon-counting lidar data in preparation for the ICESat-2 mission,124,2018, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… of the algorithms for geophysical data-product generation. Slope … 2) Measure sea ice 
thickness to understand interactions … as ice sheets and sea ice, where comparison of the satellite …",https://ieeexplore.ieee.org/abstract/document/8253859/,https://ieeexplore.ieee.org/iel7/36/8344524/08253859.pdf,14
27,"NT Kurtz, T Markus, DJ Cavalieri…",Comparison of ICESat data with airborne laser altimeter measurements over Arctic sea ice,88,2008, ieeexplore.ieee.org, … and Remote Sensing,"… (i-gval-rcv in the ICESat data product) for many of the shots in the … and laser remote sensing 
of sea ice and snow cover. Mr. … satellite remote sensing, and the utilization of satellite data to …",https://ieeexplore.ieee.org/abstract/document/4539634/,https://ieeexplore.ieee.org/iel5/36/4544940/04539634.pdf,5
22,"R Kwok, DA Rothrock, HL Stern…",Determination of the age distribution of sea ice from Lagrangian observations of ice motion,86,1995, ieeexplore.ieee.org, … and Remote Sensing,"… local age and thickness distributions of the Arctic sea ice cover. We … We assume a suitable 
data product of surface air … images of the Arctic Ocean acquired by the ERS-I satellite. He has …",https://ieeexplore.ieee.org/abstract/document/8746020/,https://ieeexplore.ieee.org/iel7/36/8610/08746020.pdf,3
