Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
34,"YH Kerr, P Waldteufel, P Richaume…",The SMOS soil moisture retrieval algorithm,1162,2012, ieeexplore.ieee.org, … and remote sensing,"… proven to be the most promising remote sensing techniques to monitor soil moisture (SM) … 
(Hydros) satellite mission: An earth system pathfinder for global mapping of soil moisture and …",https://ieeexplore.ieee.org/abstract/document/6161633/,https://ieeexplore.ieee.org/iel5/36/6186863/06161633.pdf,77
46,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… Details of the data-product algorithms from the four US Science Teams can be found in the 
… for measuring soil moisture, but the AMSR-E provides a start. Satellite-based soil moisture …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
23,"A Al Bitar, D Leroux, YH Kerr, O Merlin…",Evaluation of SMOS soil moisture products over continental US using the SCAN/SNOTEL network,303,2012, ieeexplore.ieee.org, … and Remote Sensing,"… The SMOS level 2 processor uses a custom-made climate data product (AUX_ECMWF) from 
… Continuous efforts are needed to validate satellite-based microwave-derived soil moisture …",https://ieeexplore.ieee.org/abstract/document/6178795/,https://ieeexplore.ieee.org/iel5/36/6186863/06178795.pdf,20
14,"D Entekhabi, EG Njoku, P Houser…",The hydrosphere state (Hydros) satellite mission: An earth system pathfinder for global mapping of soil moisture and land freeze/thaw,298,2004, ieeexplore.ieee.org, … and Remote Sensing,"… Measurements from these sensors are combined to produce a global 10-km soil moisture 
data product. The radar and the radiometer share the aperture of a large (6 m) but lightweight …",https://ieeexplore.ieee.org/abstract/document/1344170/,https://ieeexplore.ieee.org/iel5/36/29599/01344170.pdf,13
31,"S Mecklenburg, M Drusch, YH Kerr…",ESA's soil moisture and ocean salinity mission: Mission performance and operations,251,2012, ieeexplore.ieee.org, … and Remote Sensing,"… soil moisture and ocean salinity data for 95% and for NRT data for 97%. The NRT data product 
is delivered to ECMWF within 3 h from sensing … Soil Moisture and Ocean Salinity satellite …",https://ieeexplore.ieee.org/abstract/document/6175118/,https://ieeexplore.ieee.org/iel5/36/6186863/06175118.pdf,17
30,"N Sanchez, J Martínez-Fernández…",Validation of the SMOS L2 soil moisture data in the REMEDHUS network (Spain),247,2012, ieeexplore.ieee.org, … and Remote Sensing,"… MIR_SMUDP2 (L2 Soil Moisture User Data Product, v4.00) … through the use of passive 
microwave remote sensing [36]. In … that compared satellite products with soil moisture measured in …",https://ieeexplore.ieee.org/abstract/document/6168254/,https://ieeexplore.ieee.org/iel5/36/6186863/06168254.pdf,16
37,"K Nishida, RR Nemani, JM Glassy…",Development of an evapotranspiration index from Aqua/MODIS for monitoring surface moisture status,240,2003, ieeexplore.ieee.org, … and remote sensing,"… Satellite remote sensing is potentially a useful for landscape … data product we derive, called 
MOD16 in the MODIS Land Dis… could potentially provide soil moisture information improving …",https://ieeexplore.ieee.org/abstract/document/1196064/,https://ieeexplore.ieee.org/iel5/36/26903/01196064.pdf,10
33,"AG Fore, SH Yueh, W Tang, BW Stiles…",Combined active/passive retrievals of ocean vector wind and sea surface salinity with SMAP,231,2016, ieeexplore.ieee.org, … and Remote Sensing,"… passive (CAP) data product for the Soil Moisture Active Passive mission. We develop the … 
and retrieval algorithm development of satellite earth remote sensing data. She has been the …",https://ieeexplore.ieee.org/abstract/document/7567509/,https://ieeexplore.ieee.org/iel7/36/4358825/07567509.pdf,21
35,"NN Das, D Entekhabi, EG Njoku…",Tests of the SMAP combined radar and radiometer algorithm using airborne field campaign observations and simulated data,228,2013, ieeexplore.ieee.org, … and Remote Sensing,"… Satellite-based surface soil moisture measurements using C- … microwave remote sensing 
for robust soil moisture mapping [4]. … The flagship data product of the SMAP mission is the high …",https://ieeexplore.ieee.org/abstract/document/6516083/,https://ieeexplore.ieee.org/iel7/36/4358825/06516083.pdf,16
44,"JR Piepmeier, JT Johnson…",Radio-frequency interference mitigation for the soil moisture active passive microwave radiometer,210,2013, ieeexplore.ieee.org, … and Remote Sensing,"… provides a large amount of information that is telemetered from the satellite to enable the 
use of multiple RFI detection methods on the ground. Within the SMAP brightness-temperature …",https://ieeexplore.ieee.org/abstract/document/6616627/,https://ieeexplore.ieee.org/iel7/36/6675822/06616627.pdf,15
4,"J Kim, TS Hogue",Improving spatial soil moisture representation through integration of AMSR-E and MODIS products,198,2011, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… Since both sensors are on board the Aqua satellite, we … soil moisture estimates (1:30 
PMlocal time) from the AMSR-E level-3 land surface product [8]. Level-3 is a gridded data product …",https://ieeexplore.ieee.org/abstract/document/5982382/,https://ieeexplore.ieee.org/iel5/36/4358825/05982382.pdf,12
19,"NJ Rodriguez-Fernandez, F Aires…",Soil moisture retrieval using neural networks: Application to SMOS,196,2015, ieeexplore.ieee.org, … and Remote Sensing,"… Soil Moisture and Ocean Salinity (SMOS) satellite [1], which is the first mission specifically 
designed to perform remote sensing measurements of soil moisture … L3 User Data Product [30]…",https://ieeexplore.ieee.org/abstract/document/7116550/,https://ieeexplore.ieee.org/iel7/36/7185497/07116550.pdf,16
36,"AS Gebregiorgis, F Hossain",Understanding the dependence of satellite rainfall uncertainty on topography and climate for hydrologic model simulation,176,2012, ieeexplore.ieee.org, … Geoscience and Remote Sensing,"… data product. The study of Gebregiorgis and Hossain [37] on the optimal merging of various 
satellite … Maggioni, “Error propagation of remote sensing rainfall estimates in soil moisture …",https://ieeexplore.ieee.org/abstract/document/6203572/,https://ieeexplore.ieee.org/iel5/36/4358825/06203572.pdf,12
28,"A Loew, R Ludwig, W Mauser",Derivation of surface soil moisture from ENVISAT ASAR wide swath and image mode data in agricultural areas,166,2006, ieeexplore.ieee.org, … Transactions on Geoscience …,"… soil moisture inversion algorithm is based on an existing and well validated empirical approach 
developed for European Remote Sensing (ERS) satellite … of the data product is due to …",https://ieeexplore.ieee.org/abstract/document/1610825/,https://ieeexplore.ieee.org/iel5/36/33829/01610825.pdf,8
17,"K Fang, M Pan, C Shen",The value of SMAP for long-term soil moisture estimation with the help of deep learning,164,2018, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… of soil moisture, multiple soil moisture sensing satellite … of predicting SMAP level 3 passive 
data product in another year. LSTM … captures the systematic soil moisture response pattern as …",https://ieeexplore.ieee.org/abstract/document/8497052/,https://ieeexplore.ieee.org/iel7/36/4358825/08497052.pdf,18
6,"X Zhan, PR Houser, JP Walker…",A method for retrieving high-resolution surface soil moisture from hydros L-band radiometer and radar observations,160,2006, ieeexplore.ieee.org, … Geoscience and Remote …,"… Once the fine resolution soil moisture retrievals are obtained … the medium resolution soil 
moisture data product. Alternatively, … accurate soil moisture retrievals from satellite observations. …",https://ieeexplore.ieee.org/abstract/document/1634717/,https://ieeexplore.ieee.org/iel5/36/34280/01634717.pdf,8
12,"L Li, PW Gaiser, BC Gao…",WindSat global soil moisture retrieval and validation,146,2010, ieeexplore.ieee.org, … and Remote Sensing,"… SM data are generated routinely from three independent sources: the in situ observations 
from point measurements of sparse networks; remote sensing data from satellite instruments …",https://ieeexplore.ieee.org/abstract/document/5404432/,https://ieeexplore.ieee.org/iel5/36/5447593/05404432.pdf,9
8,"DJ Leroux, YH Kerr, A Al Bitar…","Comparison between SMOS, VUA, ASCAT, and ECMWF soil moisture products over four watersheds in US",124,2013, ieeexplore.ieee.org, … and Remote Sensing,"… This is the first satellite specially dedicated to soil moisture retrieval with an L-band passive 
… The SMOS level 2 processor uses a custom made climate data product from ECMWF that is …",https://ieeexplore.ieee.org/abstract/document/6504747/,https://ieeexplore.ieee.org/iel7/36/4358825/06504747.pdf,9
5,"WT Crow, STK Chan, D Entekhabi…",An observing system simulation experiment for Hydros radiometer-only soil moisture products,120,2005, ieeexplore.ieee.org, … and Remote Sensing,"… remote sensing of soil moisture. Specifically, he is responsible for algorithm development of 
the Soil Moisture Data Product … ) onboard the NASA EOS Aqua satellite. More recently, he …",https://ieeexplore.ieee.org/abstract/document/1433027/,https://ieeexplore.ieee.org/iel5/36/30898/01433027.pdf,5
32,"LA Jones, JS Kimball, RH Reichle…",The SMAP Level 4 Carbon Product for Monitoring Ecosystem Land–Atmosphere CO2 Exchange,104,2017, ieeexplore.ieee.org, … and Remote Sensing,"… soil moisture (SMRZ) and temperature estimates as part of the SMAP Level 4 Soil Moisture 
(L4SM) data product [… ecological theory with satellite remote sensing for clarifying ecosystem …",https://ieeexplore.ieee.org/abstract/document/8008865/,https://ieeexplore.ieee.org/iel7/36/8082819/08008865.pdf,10
26,"JT Dall'Amico, F Schlenz, A Loew…",First results of SMOS soil moisture validation in the upper Danube catchment,102,2011, ieeexplore.ieee.org, … and Remote Sensing,"… of the data product used in this study, … satellite remote sensing of soil moisture and its spatial 
variability, including the analysis of ground data, model output, and ancillary remote sensing …",https://ieeexplore.ieee.org/abstract/document/6087280/,https://ieeexplore.ieee.org/iel5/36/4358825/06087280.pdf,6
