Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
33,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… area, and snow and ice cover. The MODLAND team and their … the surface reflectance, the 
data product contains the following … The topographic effect on the LST is clearly shown in both …",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
36,"JW Waters, L Froidevaux, RS Harwood…",The earth observing system microwave limb sounder (EOS MLS) on the Aura satellite,1517,2006, ieeexplore.ieee.org, … and remote sensing,"… to the MLS FOV boresight elevation, are recorded twice per MIF. Jitter in elevation of the 
FOV … The geophysical data product output files also contain the estimated precision for each …",https://ieeexplore.ieee.org/abstract/document/1624589/,https://ieeexplore.ieee.org/iel5/36/34107/01624589.pdf,72
25,"Y Yamaguchi, AB Kahle, H Tsu…",Overview of advanced spaceborne thermal emission and reflection radiometer (ASTER),1171,1998, ieeexplore.ieee.org, … and remote sensing,"… the scale of topographic maps to be … data product is guaranteed, if all necessary inputs 
(eg, cloud-free Level 1 data, input for atmospheric correction, etc.) to generate the data product …",https://ieeexplore.ieee.org/abstract/document/700991/,https://ieeexplore.ieee.org/iel4/36/15154/00700991.pdf,40
42,"RE Wolfe, DP Roy, E Vermote","MODIS land data storage, gridding, and compositing methodology: Level 2 grid",503,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… sea ice cover, fire detection, land cover and land cover change, … Terrain effects are modeled 
using a global digital terrain … a hierarchy of increasingly refined data product levels that are …",https://ieeexplore.ieee.org/abstract/document/701082/,https://ieeexplore.ieee.org/iel4/36/15154/00701082.pdf,20
45,"AG Fore, SH Yueh, W Tang, BW Stiles…",Combined active/passive retrievals of ocean vector wind and sea surface salinity with SMAP,231,2016, ieeexplore.ieee.org, … and Remote Sensing,"… radar in July 2015, this data product will have limited utility for … algorithm development of 
satellite earth remote sensing data. … for determining the surface topography and spin axis and …",https://ieeexplore.ieee.org/abstract/document/7567509/,https://ieeexplore.ieee.org/iel7/36/4358825/07567509.pdf,21
20,"AS Gebregiorgis, F Hossain",Understanding the dependence of satellite rainfall uncertainty on topography and climate for hydrologic model simulation,176,2012, ieeexplore.ieee.org, … Geoscience and Remote Sensing,"… comes from cold surfaces and ice cover over mountainous regions may sometimes … data 
product. The study of Gebregiorgis and Hossain [37] on the optimal merging of various satellite …",https://ieeexplore.ieee.org/abstract/document/6203572/,https://ieeexplore.ieee.org/iel5/36/4358825/06203572.pdf,12
30,"UC Herzfeld, BW McDonald, BF Wallin…",Algorithm for detection of ground and canopy cover in micropulse photon-counting lidar altimeter data in preparation for the ICESat-2 mission,172,2013, ieeexplore.ieee.org, … and Remote Sensing,"… are to measure land ice elevation, sea ice freeboard, and … aerosol densities than glaciers 
and ice sheets, which tends to … the Sigma data, the resulting data product would have far more …",https://ieeexplore.ieee.org/abstract/document/6522499/,https://ieeexplore.ieee.org/iel7/36/6695798/06522499.pdf,12
27,"E Masuoka, A Fleig, RE Wolfe…",Key characteristics of MODIS data products,165,2002, ieeexplore.ieee.org, … Geoscience and Remote …,"… pixels of a Levels 1 or 2 data product, we must also obtain the … The earth location algorithm 
uses earth ellipsoid and terrain … -m resolution, and the sea ice cover products are stored at 1-…",https://ieeexplore.ieee.org/abstract/document/701081/,https://ieeexplore.ieee.org/iel4/36/15154/00701081.pdf,7
34,"F Fabra, E Cardellach, A Rius, S Ribo…",Phase altimetry with dual polarization GNSS-R over sea ice,165,2011, ieeexplore.ieee.org, … and Remote Sensing,"… elevation (complementary to the angle of incidence) … Since the minimum satellite elevation 
accepted by the GOLD-RTR … that the ice cover evolves from “new ice” to “young ice” from day …",https://ieeexplore.ieee.org/abstract/document/6088017/,https://ieeexplore.ieee.org/iel5/36/4358825/06088017.pdf,10
16,"LA Magruder, KM Brunt",Performance analysis of airborne photon-counting lidar data in preparation for the ICESat-2 mission,124,2018, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… the development of the algorithms for geophysical data-product generation. Slope Imaging 
Multi… for elevation retrieval from highly reflective surfaces, such as the interior of an ice sheet, …",https://ieeexplore.ieee.org/abstract/document/8253859/,https://ieeexplore.ieee.org/iel7/36/8344524/08253859.pdf,14
