Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
3,"AG Fore, SH Yueh, W Tang, BW Stiles…",Combined active/passive retrievals of ocean vector wind and sea surface salinity with SMAP,231,2016, ieeexplore.ieee.org, … and Remote Sensing,"… passive (CAP) data product for the Soil Moisture Active Passive mission. We develop the … 
-only salinity product, a radar-only vector wind product, and a CAP vector wind and salinity …",https://ieeexplore.ieee.org/abstract/document/7567509/,https://ieeexplore.ieee.org/iel7/36/4358825/07567509.pdf,21
25,"JR Piepmeier, P Focardi, KA Horgan…",SMAP L-band microwave radiometer: Instrument design and first year on orbit,209,2017, ieeexplore.ieee.org, … and Remote Sensing,"… temperatures found in the Level 1B_TB data product. Finally, the dotted line … and seasonal 
time scales. The combination of passive thermal design with an active proportional controller …",https://ieeexplore.ieee.org/abstract/document/7807259/,https://ieeexplore.ieee.org/iel7/36/4358825/07807259.pdf,21
26,"DJ Diner, CJ Bruegge, JV Martonchik…",MISR: A multiangle imaging spectroradiometer for geophysical and climatological research from EOS,193,1989, ieeexplore.ieee.org, … and Remote Sensing,"… imply a greater concentration of dissolved salt [43]. However, if a … Definition of the MISR 
data product levels follows, to the … for satellite ocean imaging, and validation of remote sensing …",https://ieeexplore.ieee.org/abstract/document/20299/,https://ieeexplore.ieee.org/iel1/36/806/00020299.pdf,5
23,"L Li, PW Gaiser, BC Gao…",WindSat global soil moisture retrieval and validation,146,2010, ieeexplore.ieee.org, … and Remote Sensing,"… on the heritage of other satellite microwave radiometers such as SMMR, SSM/I, TMI, and 
AMSR-E. It has a wide range of applications in ocean and land remote sensing. In this paper, a …",https://ieeexplore.ieee.org/abstract/document/5404432/,https://ieeexplore.ieee.org/iel5/36/5447593/05404432.pdf,9
8,"X Xiong, KF Chiang, A Wu, WL Barnes…",Multiyear on-orbit calibration and performance of Terra MODIS thermal emissive bands,124,2008, ieeexplore.ieee.org, … and Remote Sensing,"… It has produced a broad range of land, ocean, and … calibration accuracy and science data 
product quality to be maintained. … from the University of Utah, Salt Lake City, the MS degree in …",https://ieeexplore.ieee.org/abstract/document/4505283/,https://ieeexplore.ieee.org/iel5/36/4358825/04505283.pdf,7
5,"DJ Leroux, YH Kerr, A Al Bitar…","Comparison between SMOS, VUA, ASCAT, and ECMWF soil moisture products over four watersheds in US",124,2013, ieeexplore.ieee.org, … and Remote Sensing,"… satellite missions specially designed for soil moisture monitoring are implemented (Soil Moisture 
and Ocean Salinity … uses a custom made climate data product from ECMWF that is used …",https://ieeexplore.ieee.org/abstract/document/6504747/,https://ieeexplore.ieee.org/iel7/36/4358825/06504747.pdf,9
14,"LA Jones, JS Kimball, RH Reichle…",The SMAP Level 4 Carbon Product for Monitoring Ecosystem Land–Atmosphere CO2 Exchange,104,2017, ieeexplore.ieee.org, … and Remote Sensing,"… The land and global ocean CO2 sinks provide a roughly 50% offset of anthropogenic … , the 
SMAP Level 4 Carbon (L4C) data product provides daily global estimates of terrestrial carbon (…",https://ieeexplore.ieee.org/abstract/document/8008865/,https://ieeexplore.ieee.org/iel7/36/8082819/08008865.pdf,10
28,"BW Stiles, BD Pollard…",Direction interval retrieval with thresholded nudging: A method for improving the accuracy of QuikSCAT winds,101,2002, ieeexplore.ieee.org, … Geoscience and Remote …,"… are included in the QuikSCAT wind data product. In this paper, … take these comparisons with 
a grain of salt. Clearly, the time … borne and spaceborne remote sensing of the ocean surface. …",https://ieeexplore.ieee.org/abstract/document/981351/,https://ieeexplore.ieee.org/iel5/36/21141/00981351.pdf,4
27,"R Romeiser, H Runge, S Suchandt…",Current measurements in rivers by spaceborne along-track InSAR,87,2007, ieeexplore.ieee.org, … and Remote Sensing,"… 1(b) is the InSAR-specific data product that contains explicit … Furthermore, the transport 
of salt is taken into account. The … He has wide experience in the remote sensing of ocean …",https://ieeexplore.ieee.org/abstract/document/4378563/,https://ieeexplore.ieee.org/iel5/36/4378550/04378563.pdf,4
19,"T Shimada, H Kawamura…",An L-band geophysical model function for SAR wind retrieval using JERS-1 SAR,80,2003, ieeexplore.ieee.org, … on geoscience and remote …,"… The NSCAT Ocean Data product used in this study is 25-km … wind vectors selected along 
the satellite track with a spatial … sensors such as the Soil Moisture and Ocean Salinity Mission …",https://ieeexplore.ieee.org/abstract/document/1198643/,https://ieeexplore.ieee.org/iel5/36/26979/01198643.pdf,3
37,"MM Crawford, S Kumar, MR Ricard…",Fusion of airborne polarimetric and interferometric SAR for classification of coastal environments,71,1999, ieeexplore.ieee.org, … and Remote Sensing,"… content and salinity), while data from the interferometric sensor are … dependent upon their 
elevation relative to sea level [7]. In … provided with the AIRSAR data product, resulting in pixels …",https://ieeexplore.ieee.org/abstract/document/763293/,https://ieeexplore.ieee.org/iel5/36/16544/00763293.pdf,3
