Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
19,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… In addition to the estimates of the surface reflectance, the data product contains the … in 
atmospheres and plant canopies, remote sensing of the atmosphere and plant canopies, ground-…",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
23,"W Lucht, CB Schaaf, AH Strahler",An algorithm for the retrieval of albedo from space using semiempirical BRDF models,1308,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… the outline given in this paper when they make use of the data product. … remote sensing 
data inversion, biogeochemical and radiative vegetation modeling, and the coupling of satellite …",https://ieeexplore.ieee.org/abstract/document/841980/,https://ieeexplore.ieee.org/iel5/36/18212/00841980.pdf,52
20,"Y Yamaguchi, AB Kahle, H Tsu…",Overview of advanced spaceborne thermal emission and reflection radiometer (ASTER),1171,1998, ieeexplore.ieee.org, … and remote sensing,"… VNIR image are vegetation patches at … data product is guaranteed, if all necessary inputs 
(eg, cloud-free Level 1 data, input for atmospheric correction, etc.) to generate the data product …",https://ieeexplore.ieee.org/abstract/document/700991/,https://ieeexplore.ieee.org/iel4/36/15154/00700991.pdf,40
30,"SK Chan, R Bindlish, PE O'Neill, E Njoku…",Assessment of the SMAP passive soil moisture product,696,2016, ieeexplore.ieee.org, … and Remote Sensing,"… the L1C_TB Gridded Radiometer Data Product on the global … soil moisture, with the satellite 
soil moisture drying out faster … satellite versus in situ contributing depths or with vegetation …",https://ieeexplore.ieee.org/abstract/document/7478653/,https://ieeexplore.ieee.org/iel7/36/4358825/07478653.pdf,63
29,"C Cao, FJ De Luccia, X Xiong…",Early on-orbit performance of the visible infrared imaging radiometer suite onboard the Suomi National Polar-Orbiting Partnership (S-NPP) satellite,592,2013, ieeexplore.ieee.org, … and Remote Sensing,"… Toward the end of this provisional period, the data product is considered validated. The 
official transition to the operations phase is expected to begin at launch plus 9 to 15 months. LTM …",https://ieeexplore.ieee.org/abstract/document/6522157/,https://ieeexplore.ieee.org/iel7/36/6680673/06522157.pdf,42
6,"RE Wolfe, DP Roy, E Vermote","MODIS land data storage, gridding, and compositing methodology: Level 2 grid",503,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… Compositing criteria have included the maximum normalized difference vegetation index 
(… into a hierarchy of increasingly refined data product levels that are summarized in Table I. …",https://ieeexplore.ieee.org/abstract/document/701082/,https://ieeexplore.ieee.org/iel4/36/15154/00701082.pdf,20
36,"J Gower, C Hu, G Borstad, S King",Ocean Color Satellites Show Extensive Lines of Floating Sargassum in the Gulf of Mexico,300,2006, ieeexplore.ieee.org, … Transactions on Geoscience …,"… vegetation, but only MERIS has a band at 709 nm, which was critical to the initial discovery. 
The combined satellite data from both sensors … chlorophyll data product of SeaWiFS also …",https://ieeexplore.ieee.org/abstract/document/4014316/,https://ieeexplore.ieee.org/iel5/36/4014302/04014316.pdf,14
26,"D Entekhabi, EG Njoku, P Houser…",The hydrosphere state (Hydros) satellite mission: An earth system pathfinder for global mapping of soil moisture and land freeze/thaw,298,2004, ieeexplore.ieee.org, … and Remote Sensing,"… Measurements from these sensors are combined to produce a global 10-km soil moisture 
data product. The … The vegetation opacity is related to the columnar vegetation water content …",https://ieeexplore.ieee.org/abstract/document/1344170/,https://ieeexplore.ieee.org/iel5/36/29599/01344170.pdf,13
8,"GC Hulley, SJ Hook",Generating consistent land surface temperature and emissivity products between ASTER and MODIS data for earth science research,263,2010, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… LSTs over graybody surfaces such as dense vegetation and water but less accurate LSTs … 
products from both sensors are intercompared by degrading the ASTER data product from 90 …",https://ieeexplore.ieee.org/abstract/document/5582278/,https://ieeexplore.ieee.org/iel5/36/5738422/05582278.pdf,15
32,"Y Qu, Q Liu, S Liang, L Wang, N Liu…",Direct-estimation algorithm for mapping daily land-surface broadband albedo from MODIS data,235,2013, ieeexplore.ieee.org, … Geoscience and Remote …,"… Then we merged them into three classes: vegetation (pure vegetation + intermediate class 
A), … radiation budget (SARB) data product,” in Proc. 12th Conf. Atmospheric Radiat., 2006, pp. …",https://ieeexplore.ieee.org/abstract/document/6514500/,https://ieeexplore.ieee.org/iel7/36/6680673/06514500.pdf,17
