Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
8,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… capability for terrestrial satellite remote sensing aimed at … surface reflectance, the data 
product contains the following … , “Satellite remote sensing of total dry matter accumulation in …",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
48,"A Gillespie, S Rokugawa, T Matsunaga…",A temperature and emissivity separation algorithm for Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) images,1968,1998, ieeexplore.ieee.org, … and remote sensing,"… and for estimating amounts and changes in sparse vegetative cover for which the substrate 
… prevent TIR imaging spectroscopy from satellite, and multispectral sensors with a handful of …",https://ieeexplore.ieee.org/abstract/document/700995/,https://ieeexplore.ieee.org/iel4/36/15154/00700995.pdf,68
25,"W Lucht, CB Schaaf, AH Strahler",An algorithm for the retrieval of albedo from space using semiempirical BRDF models,1308,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… , as is the case from space-based satellite sensors. The achievable … When using the snow 
coefficients for the snow case, the … given in this paper when they make use of the data product. …",https://ieeexplore.ieee.org/abstract/document/841980/,https://ieeexplore.ieee.org/iel5/36/18212/00841980.pdf,52
18,"Y Yamaguchi, AB Kahle, H Tsu…",Overview of advanced spaceborne thermal emission and reflection radiometer (ASTER),1171,1998, ieeexplore.ieee.org, … and remote sensing,"… Because the data will have wide spectral coverage and … with the Tracking and Data Relay 
Satellite System (TDRSS) and … .) to generate the data product are available. Development and …",https://ieeexplore.ieee.org/abstract/document/700991/,https://ieeexplore.ieee.org/iel4/36/15154/00700991.pdf,40
32,"YH Kerr, P Waldteufel, P Richaume…",The SMOS soil moisture retrieval algorithm,1162,2012, ieeexplore.ieee.org, … and remote sensing,"… on L-band microwave radiometers on satellite platforms have been … The soil can be frozen 
or covered with snow or rocks. The … cover, litter, and water intercepted by the vegetation cover …",https://ieeexplore.ieee.org/abstract/document/6161633/,https://ieeexplore.ieee.org/iel5/36/6186863/06161633.pdf,77
50,"MD King, WP Menzel, YJ Kaufman…","Cloud and aerosol properties, precipitable water, and profiles of temperature and water vapor from MODIS",1160,2003, ieeexplore.ieee.org, … and Remote Sensing,"… to provide nearly complete global coverage every two days from … at only 20 levels in the 
MOD07 data product; however, the … of satellite, aircraft, and ground-based cloud remote sensing, …",https://ieeexplore.ieee.org/abstract/document/1196060/,https://ieeexplore.ieee.org/iel5/36/26903/01196060.pdf,48
6,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… on land in the form of snow cover and glacial ice; liquid water in … algorithms for ice temperature 
and snow depth on sea ice. The … Details of the data-product algorithms from the four US …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
9,"C Cao, FJ De Luccia, X Xiong…",Early on-orbit performance of the visible infrared imaging radiometer suite onboard the Suomi National Polar-Orbiting Partnership (S-NPP) satellite,592,2013, ieeexplore.ieee.org, … and Remote Sensing,"… Toward the end of this provisional period, the data product is … to reduce the striping on a 
case-by-case basis. As an example, … most of the observations are over snow, which has unique …",https://ieeexplore.ieee.org/abstract/document/6522157/,https://ieeexplore.ieee.org/iel7/36/6680673/06522157.pdf,42
22,"RE Wolfe, DP Roy, E Vermote","MODIS land data storage, gridding, and compositing methodology: Level 2 grid",503,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… processed, global satellite, remotely sensed data sets are … into a hierarchy of increasingly 
refined data product levels that are … coverage remotely sensed data sets. It requires that the …",https://ieeexplore.ieee.org/abstract/document/701082/,https://ieeexplore.ieee.org/iel4/36/15154/00701082.pdf,20
49,"NN Das, D Entekhabi, EG Njoku…",Tests of the SMAP combined radar and radiometer algorithm using airborne field campaign observations and simulated data,228,2013, ieeexplore.ieee.org, … and Remote Sensing,"… Satellite-based surface soil moisture … data product of the SMAP mission is the high resolution 
(9 km), high accuracy surface soil moisture data (<= 0.04 cm3/cm3) having global coverage …",https://ieeexplore.ieee.org/abstract/document/6516083/,https://ieeexplore.ieee.org/iel7/36/4358825/06516083.pdf,16
45,"NJ Rodriguez-Fernandez, F Aires…",Soil moisture retrieval using neural networks: Application to SMOS,196,2015, ieeexplore.ieee.org, … and Remote Sensing,"… information from the CATDS L3 User Data Product [30], such as … In addition, we have used 
the snow depth and the soil … Her research covers satellite microwave remote sensing of the …",https://ieeexplore.ieee.org/abstract/document/7116550/,https://ieeexplore.ieee.org/iel7/36/7185497/07116550.pdf,16
10,"AS Gebregiorgis, F Hossain",Understanding the dependence of satellite rainfall uncertainty on topography and climate for hydrologic model simulation,176,2012, ieeexplore.ieee.org, … Geoscience and Remote Sensing,"… priori hydrologic predictability of the data product. The study of … In this case, the satellite 
detects a rainfall event actually … is eventually converted to snow depth at intermediate and high …",https://ieeexplore.ieee.org/abstract/document/6203572/,https://ieeexplore.ieee.org/iel5/36/4358825/06203572.pdf,12
37,"UC Herzfeld, BW McDonald, BF Wallin…",Algorithm for detection of ground and canopy cover in micropulse photon-counting lidar altimeter data in preparation for the ICESat-2 mission,172,2013, ieeexplore.ieee.org, … and Remote Sensing,"… the Sigma data, the resulting data product would have far more … Sturm, “Geostatistical 
characterization of snow-depth structures … interests include satellite and airborne remote sensing …",https://ieeexplore.ieee.org/abstract/document/6522499/,https://ieeexplore.ieee.org/iel7/36/6695798/06522499.pdf,12
13,"E Masuoka, A Fleig, RE Wolfe…",Key characteristics of MODIS data products,165,2002, ieeexplore.ieee.org, … Geoscience and Remote …,"… In the latter case, data from one satellite will differ from that … pixels of a Levels 1 or 2 data 
product, we must also obtain the … Snow cover products in the polar grid will extend down from …",https://ieeexplore.ieee.org/abstract/document/701081/,https://ieeexplore.ieee.org/iel4/36/15154/00701081.pdf,7
47,"K Fang, M Pan, C Shen",The value of SMAP for long-term soil moisture estimation with the help of deep learning,164,2018, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… To offer large-scale monitoring of soil moisture, multiple soil moisture sensing satellite … 
data product in another year. LSTM can extend SMAP to spatiotemporally seamless coverage of …",https://ieeexplore.ieee.org/abstract/document/8497052/,https://ieeexplore.ieee.org/iel7/36/4358825/08497052.pdf,18
30,"P Minnis, S Sun-Mack, Y Chen…",CERES MODIS cloud product retrievals for edition 4—Part I: Algorithm changes,162,2020, ieeexplore.ieee.org, … and Remote Sensing,"… for cloud optical depth (COD) over snow improve the daytime … ) and geostationary satellite 
(GEOsat) data that cover the … to be snow- or ice-covered either from the snow–ice maps or …",https://ieeexplore.ieee.org/abstract/document/9146707/,https://ieeexplore.ieee.org/iel7/36/4358825/09146707.pdf,23
40,"ME Grøtte, R Birkeland…",Ocean color hyperspectral remote sensing with high resolution and low latency—The HYPSO-1 CubeSat mission,114,2021, ieeexplore.ieee.org, … and Remote Sensing,"… data product when considering overhead in satellite bus … (ESA), are designed to cover 
the Earth on a global scale and … the sensor read-out circuits, and Cquant = Cmax/(2bit-depth …",https://ieeexplore.ieee.org/abstract/document/9447150/,https://ieeexplore.ieee.org/iel7/36/9633014/09447150.pdf,19
33,"SB Kim, JJ Van Zyl, JT Johnson…",Surface soil moisture retrieval using the L-band synthetic aperture radar onboard the soil moisture active–passive satellite and evaluation at core validation sites,99,2017, ieeexplore.ieee.org, … and Remote Sensing,"… (no snow cover, no frozen ground, no permanent water, no wetland, no urban, no snow, and 
… as the discrepancy in sensing depth of radar versus in situ sensors. Excluding these cases, …",https://ieeexplore.ieee.org/abstract/document/7827136/,https://ieeexplore.ieee.org/iel7/36/7864502/07827136.pdf,10
15,"T Lacava, P Matgen, L Brocca, M Bittelli…",A first assessment of the SMOS soil moisture product with in situ and modeled data in Italy and Luxembourg,97,2012, ieeexplore.ieee.org, … and Remote Sensing,"… related to topography, frozen soils, snow cover, urban areas, … Due to the difference in sensing 
depth between satellite (eg, … between the satellite footprint and the area covered by ground …",https://ieeexplore.ieee.org/abstract/document/6168249/,https://ieeexplore.ieee.org/iel5/36/6186863/06168249.pdf,6
20,"NT Kurtz, T Markus, DJ Cavalieri…",Comparison of ICESat data with airborne laser altimeter measurements over Arctic sea ice,88,2008, ieeexplore.ieee.org, … and Remote Sensing,"… (i-gval-rcv in the ICESat data product) for many of the shots in the … and laser remote sensing 
of sea ice and snow cover. Mr. … satellite remote sensing, and the utilization of satellite data to …",https://ieeexplore.ieee.org/abstract/document/4539634/,https://ieeexplore.ieee.org/iel5/36/4544940/04539634.pdf,5
34,"MR Siegfried, RL Hawley…","High-resolution ground-based GPS measurements show intercampaign bias in ICESat elevation data near Summit, Greenland",70,2011, ieeexplore.ieee.org, … Geoscience and Remote …,"… We exclude the data from any individual satellite for which … , where we stop to measure 
accumulation. We define a PSP as … a subset of GLAS data product GLA12, release 31 (HJ Zwally …",https://ieeexplore.ieee.org/abstract/document/5764517/,https://ieeexplore.ieee.org/iel5/36/4358825/05764517.pdf,4
23,"K Ogawa, T Schmugge…",Estimating broadband emissivity of arid regions and its seasonal variations using thermal infrared remote sensing,67,2008, ieeexplore.ieee.org, … Geoscience and Remote …,"… (MODIS) onboard NASA’s Terra satellite. We developed a regression … These data are contained 
in the MODIS data product (… -spectral thermal infrared remote sensing—A case study in a …",https://ieeexplore.ieee.org/abstract/document/4432714/,https://ieeexplore.ieee.org/iel5/36/4432701/04432714.pdf,4
44,"QP Remund, DG Long",A decade of QuikSCAT scatterometer sea ice extent data,65,2013, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… results from the ten-year data product. Starting with enhanced … such as surface roughness, 
snow cover, dielectric loss, and … and impact of satellite remotely sensed ocean surface vector …",https://ieeexplore.ieee.org/abstract/document/6612633/,https://ieeexplore.ieee.org/iel7/36/4358825/06612633.pdf,5
12,"AD Fraser, RA Massom…",A method for compositing polar MODIS satellite images to remove cloud cover for landfast sea-ice detection,55,2009, ieeexplore.ieee.org, … transactions on geoscience …,"… the cloud mask product over snow-covered surfaces. Riggs … ”) for use with the MODIS snow 
cover product. Utilizing a small … positing MODIS satellite imagery to remove cloud cover over …",https://ieeexplore.ieee.org/abstract/document/5067286/,https://ieeexplore.ieee.org/iel5/36/5210215/05067286.pdf,3
26,"T He, S Liang, D Wang, Y Shuai…",Fusion of satellite land surface albedo products across scales using a multiresolution tree method in the north central United States,50,2013, ieeexplore.ieee.org, … Geoscience and Remote …,"… satellite albedo products used in this study. In order to extend this approach to other areas 
with different types of land cover (snow … and radiation swath data product,” J. Geophys. Res.–…",https://ieeexplore.ieee.org/abstract/document/6568884/,https://ieeexplore.ieee.org/iel7/36/4358825/06568884.pdf,4
41,"X Sun, JB Abshire, AA Borsa, HA Fricker…",ICESAT/GLAS altimetry measurements: Received signal dynamic range and saturation correction,42,2017, ieeexplore.ieee.org, … and Remote Sensing,"… as ∼50 cm for ice- and snow-covered surfaces. We developed a … Mild saturation (1%–10% 
saturation index in the data product) … Marshak, “Satellite remote sensing of blowing snow …",https://ieeexplore.ieee.org/abstract/document/7990535/,https://ieeexplore.ieee.org/iel7/36/4358825/07990535.pdf,4
21,"D Small, C Rohner, N Miranda…",Wide-area analysis-ready radar backscatter composites,33,2021, ieeexplore.ieee.org, … and Remote Sensing,"… satellite tracks (incl. ascending and descending), they are able to provide wide-area coverage 
with … from wet snow monitoring to land cover classification or short-term change detection. …",https://ieeexplore.ieee.org/abstract/document/9352976/,https://ieeexplore.ieee.org/iel7/36/4358825/09352976.pdf,6
