Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
21,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… capability for terrestrial satellite remote sensing aimed at meeting … of the atmospheric downward 
or upward radiation field with … surface reflectance, the data product contains the following …",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
11,"HH Aumann, MT Chahine, C Gautier…","AIRS/AMSU/HSB on the Aqua mission: Design, science objectives, data products, and processing systems",1970,2003, ieeexplore.ieee.org, … and Remote Sensing,"… and humidity sounding system on the Aqua satellite of the Earth … model-derived atmospheric 
temperature fields would exceed … The overall concept is described in the AIRS Data Product …",https://ieeexplore.ieee.org/abstract/document/1196043/,https://ieeexplore.ieee.org/iel5/36/26903/01196043.pdf,82
29,"A Gillespie, S Rokugawa, T Matsunaga…",A temperature and emissivity separation algorithm for Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) images,1968,1998, ieeexplore.ieee.org, … and remote sensing,"… Field temperature and atmospheric data were measured … less than 2 K; for humid air, the 
uncertainty may be greater. It is … land, revision 2: ASTER standard data product AST09, Level 2 …",https://ieeexplore.ieee.org/abstract/document/700995/,https://ieeexplore.ieee.org/iel4/36/15154/00700995.pdf,68
44,"DJ Diner, JC Beckert, TH Reilly…",Multi-angle Imaging SpectroRadiometer (MISR) instrument description and experiment overview,1258,1998, ieeexplore.ieee.org, … and Remote Sensing,"… to adsorb water under increasing relative humidity are also known. … assessment, algorithm 
and data product validation, software … His current fields of special interest are the theory and …",https://ieeexplore.ieee.org/abstract/document/700992/,https://ieeexplore.ieee.org/iel4/36/15154/00700992.pdf,43
25,"YH Kerr, P Waldteufel, P Richaume…",The SMOS soil moisture retrieval algorithm,1162,2012, ieeexplore.ieee.org, … and remote sensing,"… This wavelength penetrates well through the atmosphere, … L-band microwave radiometers 
on satellite platforms have been … , “Remote-sensing of soil-moisture content over bare field at …",https://ieeexplore.ieee.org/abstract/document/6161633/,https://ieeexplore.ieee.org/iel5/36/6186863/06161633.pdf,77
30,"WE Esaias, MR Abbott, I Barton…",An overview of MODIS capabilities for ocean science observations,709,1998, ieeexplore.ieee.org, … and Remote Sensing,"… , and improved science data product algorithms. Spectral bands … upper ocean dynamics, 
airsea fluxes of heat and moisture, and the … for the atmospheric and surface reflectance fields. …",https://ieeexplore.ieee.org/abstract/document/701076/,https://ieeexplore.ieee.org/iel4/36/15154/00701076.pdf,24
19,"SK Chan, R Bindlish, PE O'Neill, E Njoku…",Assessment of the SMAP passive soil moisture product,696,2016, ieeexplore.ieee.org, … and Remote Sensing,"… L1C_TB Gridded Radiometer Data Product on the global cylindrical … the final output soil 
moisture retrieval fields on the same 36 km … retrievals and assimilation of satellite soil moisture in …",https://ieeexplore.ieee.org/abstract/document/7478653/,https://ieeexplore.ieee.org/iel7/36/4358825/07478653.pdf,63
10,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… is to obtain atmospheric temperature and humidity profiles from … Details of the data-product 
algorithms from the four US … using aircraft, ships, and field campaigns in a variety of climatic …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
27,"A Al Bitar, D Leroux, YH Kerr, O Merlin…",Evaluation of SMOS soil moisture products over continental US using the SCAN/SNOTEL network,303,2012, ieeexplore.ieee.org, … and Remote Sensing,"… a custom-made climate data product (AUX_ECMWF) from the … with a multitude of sensors 
(air temperature, relative humidity, … His fields of interest are in the theory and techniques for …",https://ieeexplore.ieee.org/abstract/document/6178795/,https://ieeexplore.ieee.org/iel5/36/6186863/06178795.pdf,20
13,"D Entekhabi, EG Njoku, P Houser…",The hydrosphere state (Hydros) satellite mission: An earth system pathfinder for global mapping of soil moisture and land freeze/thaw,298,2004, ieeexplore.ieee.org, … and Remote Sensing,"… a global 10-km soil moisture data product. The radar and the … relative to the soil moisture 
dynamics in their effects on the … , “Remote sensing of soil moisture content over bare field at …",https://ieeexplore.ieee.org/abstract/document/1344170/,https://ieeexplore.ieee.org/iel5/36/29599/01344170.pdf,13
